20100901-5f_0.6+2
9.999460000000000015e-01 -1.013280000000000083e-02
9.966450000000000031e-01 -9.905699999999999922e-03
9.903374000000000343e-01 -9.413200000000000039e-03
9.826934999999999976e-01 -8.765099999999999628e-03
9.742600999999999623e-01 -8.056499999999999426e-03
9.655082000000000386e-01 -7.318599999999999758e-03
9.566615000000000535e-01 -6.569099999999999592e-03
9.477936999999999612e-01 -5.823499999999999684e-03
9.389064000000000298e-01 -5.071599999999999893e-03
9.300486000000000031e-01 -4.324800000000000172e-03
9.212044000000000343e-01 -3.596900000000000097e-03
9.123419000000000390e-01 -2.862799999999999980e-03
9.034934000000000021e-01 -2.122199999999999868e-03
8.946275999999999673e-01 -1.393900000000000000e-03
8.857264999999999722e-01 -6.710999999999999951e-04
8.768184999999999452e-01 5.089999999999999717e-05
8.679132000000000513e-01 7.678000000000000146e-04
8.590046000000000070e-01 1.479400000000000073e-03
8.500923000000000229e-01 2.187099999999999982e-03
8.411868999999999597e-01 2.890699999999999954e-03
8.322998999999999814e-01 3.584700000000000126e-03
8.234082999999999819e-01 4.268799999999999678e-03
8.144983000000000084e-01 4.955199999999999882e-03
8.056090999999999669e-01 5.637900000000000376e-03
7.967284999999999506e-01 6.306100000000000247e-03
7.878239999999999688e-01 6.966899999999999829e-03
7.789175000000000404e-01 7.626299999999999919e-03
7.700289000000000161e-01 8.286200000000000510e-03
7.611617000000000521e-01 8.933399999999999327e-03
7.522841000000000111e-01 9.566699999999999163e-03
7.433802999999999939e-01 1.020249999999999976e-02
7.344889999999999475e-01 1.083429999999999983e-02
7.256226000000000065e-01 1.145269999999999969e-02
7.167894999999999683e-01 1.206160000000000045e-02
7.080629000000000506e-01 1.268460000000000074e-02
7.053751999999999800e-01 1.288339999999999971e-02
7.026875999999999678e-01 1.308220000000000043e-02
6.999999999999999556e-01 1.328110000000000054e-02
6.989159999999999817e-01 1.332919999999999938e-02
6.903240000000000487e-01 1.377980000000000003e-02
6.816543999999999937e-01 1.430730000000000023e-02
6.728494999999999893e-01 1.488339999999999975e-02
6.639905999999999864e-01 1.546660000000000049e-02
6.551306999999999547e-01 1.603289999999999924e-02
6.462371000000000087e-01 1.658690000000000164e-02
6.373229999999999729e-01 1.713790000000000105e-02
6.284102000000000299e-01 1.768979999999999858e-02
6.195066999999999657e-01 1.823520000000000002e-02
6.106101000000000445e-01 1.877010000000000137e-02
6.017038999999999582e-01 1.929729999999999987e-02
5.927894999999999692e-01 1.982789999999999900e-02
5.838727000000000222e-01 2.036309999999999856e-02
5.749796999999999825e-01 2.089289999999999897e-02
5.661083999999999561e-01 2.140509999999999982e-02
5.572139999999999871e-01 2.190479999999999858e-02
5.482951000000000352e-01 2.240730000000000152e-02
5.393744000000000316e-01 2.291179999999999953e-02
5.304790999999999812e-01 2.340940000000000035e-02
5.215988999999999765e-01 2.389089999999999964e-02
5.127019000000000437e-01 2.435959999999999862e-02
5.037916000000000061e-01 2.482310000000000072e-02
4.948781999999999903e-01 2.528889999999999957e-02
4.859921999999999853e-01 2.574610000000000093e-02
4.770978000000000163e-01 2.618660000000000085e-02
4.681770000000000098e-01 2.662310000000000024e-02
4.592885999999999913e-01 2.705039999999999875e-02
4.503903000000000212e-01 2.746140000000000039e-02
4.414687999999999946e-01 2.787119999999999875e-02
4.325828999999999924e-01 2.827759999999999996e-02
4.237022999999999762e-01 2.866619999999999932e-02
4.147930000000000228e-01 2.904450000000000087e-02
4.058898000000000228e-01 2.941540000000000127e-02
3.969867999999999730e-01 2.977389999999999898e-02
3.880719000000000252e-01 3.012750000000000150e-02
3.791919999999999735e-01 3.047630000000000131e-02
3.703280999999999934e-01 3.080379999999999924e-02
3.614314000000000138e-01 3.111749999999999933e-02
3.525212999999999819e-01 3.143039999999999723e-02
3.436224999999999974e-01 3.173440000000000288e-02
3.347257000000000149e-01 3.202599999999999891e-02
3.258414000000000033e-01 3.230489999999999751e-02
3.169673000000000074e-01 3.256509999999999960e-02
3.080639000000000016e-01 3.281089999999999701e-02
2.991478000000000192e-01 3.305419999999999886e-02
2.902614000000000027e-01 3.328779999999999933e-02
2.814059999999999895e-01 3.350120000000000181e-02
2.725477000000000039e-01 3.369029999999999941e-02
2.636588999999999738e-01 3.386360000000000064e-02
2.547962999999999756e-01 3.402499999999999969e-02
2.459724000000000077e-01 3.415900000000000186e-02
2.371389000000000136e-01 3.426409999999999872e-02
2.283048000000000022e-01 3.434620000000000034e-02
2.194964000000000082e-01 3.440189999999999915e-02
2.107289999999999996e-01 3.442250000000000171e-02
2.019745000000000013e-01 3.439919999999999783e-02
1.932114000000000054e-01 3.433640000000000303e-02
1.844735000000000125e-01 3.423450000000000104e-02
1.757672000000000123e-01 3.408440000000000081e-02
1.670786999999999967e-01 3.388189999999999952e-02
1.584051999999999960e-01 3.362520000000000092e-02
1.497632000000000130e-01 3.331270000000000064e-02
1.411735000000000073e-01 3.293530000000000069e-02
1.326065999999999911e-01 3.248209999999999986e-02
1.240481999999999974e-01 3.195490000000000136e-02
1.155219999999999997e-01 3.135369999999999824e-02
1.070474000000000009e-01 3.067270000000000066e-02
9.863149999999999695e-02 2.990239999999999912e-02
9.026929999999999676e-02 2.903400000000000078e-02
8.196860000000000257e-02 2.806279999999999886e-02
7.375239999999999574e-02 2.698319999999999885e-02
6.566049999999999665e-02 2.578700000000000089e-02
5.771119999999999722e-02 2.445709999999999898e-02
4.992440000000000072e-02 2.298419999999999977e-02
4.238519999999999788e-02 2.137000000000000011e-02
3.520539999999999781e-02 1.961430000000000118e-02
2.852089999999999834e-02 1.773220000000000005e-02
2.251710000000000170e-02 1.577860000000000026e-02
1.740080000000000099e-02 1.385469999999999931e-02
1.326590000000000061e-02 1.205409999999999988e-02
1.002049999999999989e-02 1.041740000000000027e-02
7.491399999999999622e-03 8.947399999999999451e-03
5.511199999999999953e-03 7.620000000000000037e-03
3.949600000000000159e-03 6.398599999999999947e-03
2.717300000000000184e-03 5.246800000000000248e-03
1.753500000000000067e-03 4.141500000000000216e-03
1.016699999999999939e-03 3.072200000000000191e-03
4.884000000000000537e-04 2.031799999999999839e-03
1.580999999999999940e-04 1.018599999999999931e-03
5.237155693409159814e-06 5.011728444601714998e-05
2.609806356450574349e-05 -8.917198949660051863e-04
2.540643774419308718e-04 -1.834884026884272970e-03
7.331448695950402083e-04 -2.751231942273583628e-03
1.481863301238008860e-03 -3.586503155783359303e-03
2.475220454350738220e-03 -4.340978911762153301e-03
3.712603752685139126e-03 -5.041561343031366292e-03
5.219572953068699929e-03 -5.737367644451042172e-03
7.069992337130362459e-03 -6.448057874501282247e-03
9.388218120266548714e-03 -7.190727988618319209e-03
1.236340845055782650e-02 -7.982963350452976573e-03
1.625603799861740500e-02 -8.847317584302443610e-03
2.130101722335498229e-02 -9.786627289333885843e-03
2.751001597494455442e-02 -1.073005416660586901e-02
3.467631273143492038e-02 -1.160976966488676092e-02
4.245919977261559952e-02 -1.239318084952847031e-02
5.057733243654826544e-02 -1.306700196880999400e-02
5.888222060689717735e-02 -1.363451560564929964e-02
6.730899127487037503e-02 -1.410413262981549155e-02
7.583208974809790837e-02 -1.448983616320169768e-02
8.442495418989490186e-02 -1.480341258913471167e-02
9.307291425121444473e-02 -1.505400963185841642e-02
1.017615989314622216e-01 -1.525057404172798503e-02
1.104627184545113050e-01 -1.539629777217145674e-02
1.191882691821958412e-01 -1.549004183120330710e-02
1.279640864012711321e-01 -1.554262231600663999e-02
1.367608004902792218e-01 -1.556343472206716573e-02
1.455590079768673273e-01 -1.555144210162765633e-02
1.543664081704110846e-01 -1.550641943215960196e-02
1.632020116949711719e-01 -1.543160494972923603e-02
1.720601491289195650e-01 -1.533641712865056739e-02
1.809028193729951550e-01 -1.522057946405098484e-02
1.897522024860884282e-01 -1.507791984222318742e-02
1.986293250057980520e-01 -1.491656997372577988e-02
2.074991971913776045e-01 -1.473974358575525466e-02
2.163739020798867707e-01 -1.454220138299520786e-02
2.252751626304300425e-01 -1.433097280694163762e-02
2.341627904296469664e-01 -1.410968848172295363e-02
2.430460574800080154e-01 -1.386971822946233938e-02
2.519645824213326835e-01 -1.361673332681090365e-02
2.608934943084736391e-01 -1.335971464719378637e-02
2.698125854485416419e-01 -1.309632784957157417e-02
