  
       XFOIL         Version 6.99
  
 Calculated polar for: 424-35+430-20_0.65+2                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.303 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.1416   0.00560   0.00076  -0.0413   1.0000   1.0000   1.0000 250.0000
  -0.500   0.1964   0.00567   0.00080  -0.0410   1.0000   1.0000   1.0000 250.0000
   0.000   0.2738   0.00572   0.00084  -0.0455   0.9767   1.0000   4.6293 250.0000
   0.500   0.3490   0.00595   0.00056  -0.0478   0.7724   1.0000  27.9499 250.0000
   1.000   0.3958   0.00711   0.00065  -0.0454   0.5747   1.0000  50.3478 250.0000
   1.500   0.4489   0.00774   0.00080  -0.0446   0.4925   1.0000  59.6496 250.0000
   2.000   0.5028   0.00827   0.00094  -0.0441   0.4297   1.0000  66.7628 250.0000
   2.500   0.5569   0.00878   0.00109  -0.0436   0.3720   1.0000  73.3009 250.0000
   3.000   0.6109   0.00933   0.00125  -0.0432   0.3141   1.0000  79.8959 250.0000
   3.500   0.6646   0.00995   0.00145  -0.0427   0.2540   1.0000  86.7619 250.0000
   4.000   0.7179   0.01069   0.00170  -0.0423   0.1930   1.0000  93.7872 250.0000
   4.500   0.7706   0.01161   0.00205  -0.0419   0.1288   1.0000 101.2735 250.0000
   5.000   0.8215   0.01325   0.00280  -0.0413   0.0579   1.0000 109.9176 250.0000
   5.500   0.8712   0.01539   0.00406  -0.0402   0.0342   1.0000 113.1092 250.0000
   6.000   0.9199   0.01772   0.00555  -0.0389   0.0258   1.0000 114.3586 250.0000
   6.500   0.9662   0.02091   0.00762  -0.0374   0.0211   1.0000 115.1364 250.0000
   7.000   1.0126   0.02461   0.01049  -0.0356   0.0187   1.0000 115.5818 250.0000
   7.500   1.0511   0.03047   0.01478  -0.0340   0.0166   1.0000 115.9708 250.0000
   8.000   1.0793   0.03873   0.02195  -0.0318   0.0167   1.0000 115.9656 250.0000
